No.;Time ;;Time 1;Time 2;Delay;;Delay 1;Delay 2;Jiter
11381;91,260521;;91,260521;91,260788;0,000267;;1E-05;0,000257;0,000247
11382;91,260788;;91,260788;91,261045;0,000257;;0,000257;-0,014336;-0,014593
11383;91,261045;;91,261045;91,261045;0;;-0,014336;-0,058477;-0,044141
11384;91,261045;;91,261045;91,275381;0,014336;;-0,058477;0,071902;0,130379
11385;91,275381;;91,275381;91,348194;0,072813;;0,071902;0,000911;-0,070991
11386;91,348194;;91,348194;91,349105;0,000911;;0,000911;0;-0,000911
11387;91,349105;;91,349105;91,349105;0;;0;0;0
11388;91,349105;;91,349105;91,349105;0;;0;-0,00106;-0,00106
11389;91,349105;;91,349105;91,349105;0;;-0,00106;-0,002726;-0,001666
11390;91,349105;;91,349105;91,350165;0,00106;;-0,002726;0,003697;0,006423
11391;91,350165;;91,350165;91,353951;0,003786;;0,003697;8,9E-05;-0,003608
11392;91,353951;;91,353951;91,35404;8,9E-05;;8,9E-05;0;-8,9E-05
11393;91,35404;;91,35404;91,35404;0;;0;-5,9E-05;-5,9E-05
11394;91,35404;;91,35404;91,35404;0;;-5,9E-05;5,9E-05;0,000118
11395;91,35404;;91,35404;91,354099;5,9E-05;;5,9E-05;0;-5,9E-05
11396;91,354099;;91,354099;91,354099;0;;0;0;0
11397;91,354099;;91,354099;91,354099;0;;0;-6,7E-05;-6,7E-05
11398;91,354099;;91,354099;91,354099;0;;-6,7E-05;-0,013701;-0,013634
11399;91,354099;;91,354099;91,354166;6,7E-05;;-0,013701;-0,018474;-0,004773
11400;91,354166;;91,354166;91,367934;0,013768;;-0,018474;0,032242;0,050716
11401;91,367934;;91,367934;91,400176;0,032242;;0,032242;0;-0,032242
11402;91,400176;;91,400176;91,400176;0;;0;-0,000597;-0,000597
11403;91,400176;;91,400176;91,400176;0;;-0,000597;0,000597;0,001194
11404;91,400176;;91,400176;91,400773;0,000597;;0,000597;-0,001091;-0,001688
11405;91,400773;;91,400773;91,400773;0;;-0,001091;0,001091;0,002182
11406;91,400773;;91,400773;91,401864;0,001091;;0,001091;0;-0,001091
11407;91,401864;;91,401864;91,401864;0;;0;0;0
11408;91,401864;;91,401864;91,401864;0;;0;-0,000447;-0,000447
11409;91,401864;;91,401864;91,401864;0;;-0,000447;0,000268;0,000715
11410;91,401864;;91,401864;91,402311;0,000447;;0,000268;-0,000159;-0,000427
11411;91,402311;;91,402311;91,40249;0,000179;;-0,000159;0,000338;0,000497
11412;91,40249;;91,40249;91,402828;0,000338;;0,000338;-0,013473;-0,013811
11413;91,402828;;91,402828;91,402828;0;;-0,013473;-0,032588;-0,019115
11414;91,402828;;91,402828;91,416301;0,013473;;-0,032588;0,006;0,038588
11415;91,416301;;91,416301;91,462362;0,046061;;0,006;0,039077;0,033077
11416;91,462362;;91,462362;91,502423;0,040061;;0,039077;0,000984;-0,038093
11417;91,502423;;91,502423;91,503407;0,000984;;0,000984;0;-0,000984
11418;91,503407;;91,503407;91,503407;0;;0;-0,006904;-0,006904
11419;91,503407;;91,503407;91,503407;0;;-0,006904;0,006135;0,013039
11420;91,503407;;91,503407;91,510311;0,006904;;0,006135;0,000769;-0,005366
11421;91,510311;;91,510311;91,51108;0,000769;;0,000769;-0,001618;-0,002387
11422;91,51108;;91,51108;91,51108;0;;-0,001618;0,001618;0,003236
11423;91,51108;;91,51108;91,512698;0,001618;;0,001618;0;-0,001618
11424;91,512698;;91,512698;91,512698;0;;0;0;0
11425;91,512698;;91,512698;91,512698;0;;0;0;0
11426;91,512698;;91,512698;91,512698;0;;0;0;0
11427;91,512698;;91,512698;91,512698;0;;0;0;0
11428;91,512698;;91,512698;91,512698;0;;0;-0,000247;-0,000247
11429;91,512698;;91,512698;91,512698;0;;-0,000247;-0,01459;-0,014343
11430;91,512698;;91,512698;91,512945;0,000247;;-0,01459;-0,036723;-0,022133
11431;91,512945;;91,512945;91,527782;0,014837;;-0,036723;0,048638;0,085361
11432;91,527782;;91,527782;91,579342;0,05156;;0,048638;0,002509;-0,046129
11433;91,579342;;91,579342;91,582264;0,002922;;0,002509;-0,002068;-0,004577
11434;91,582264;;91,582264;91,582677;0,000413;;-0,002068;0,002481;0,004549
11435;91,582677;;91,582677;91,585158;0,002481;;0,002481;-9,8E-05;-0,002579
11436;91,585158;;91,585158;91,585158;0;;-9,8E-05;9,8E-05;0,000196
11437;91,585158;;91,585158;91,585256;9,8E-05;;9,8E-05;0;-9,8E-05
11438;91,585256;;91,585256;91,585256;0;;0;-0,000718;-0,000718
11439;91,585256;;91,585256;91,585256;0;;-0,000718;0,000718;0,001436
11440;91,585256;;91,585256;91,585974;0,000718;;0,000718;0;-0,000718
11441;91,585974;;91,585974;91,585974;0;;0;-0,000337;-0,000337
11442;91,585974;;91,585974;91,585974;0;;-0,000337;0,000219;0,000556
11443;91,585974;;91,585974;91,586311;0,000337;;0,000219;-0,0132;-0,013419
11444;91,586311;;91,586311;91,586429;0,000118;;-0,0132;0,013165;0,026365
11445;91,586429;;91,586429;91,599747;0,013318;;0,013165;0,000153;-0,013012
11446;91,599747;;91,599747;91,5999;0,000153;;0,000153;-0,000425;-0,000578
11447;91,5999;;91,5999;91,5999;0;;-0,000425;-0,000162;0,000263
11448;91,5999;;91,5999;91,600325;0,000425;;-0,000162;-0,000257;-9,5E-05
11449;91,600325;;91,600325;91,600912;0,000587;;-0,000257;0,000844;0,001101
11450;91,600912;;91,600912;91,601756;0,000844;;0,000844;0;-0,000844
11451;91,601756;;91,601756;91,601756;0;;0;-0,000982;-0,000982
